structure,struct_0,struct_1,struct_2,struct_3,struct_4,struct_5,struct_6,struct_7,struct_8,struct_9,struct_10,struct_11,struct_12,struct_13,struct_14,struct_15,struct_16,struct_17,struct_18,struct_19,struct_20,struct_21,struct_22,struct_23,struct_24,struct_25,struct_26,struct_27,struct_28,struct_29,struct_30,struct_31,struct_32,struct_33,struct_34,struct_35,struct_36,struct_37,struct_38,struct_39,struct_40,struct_41,struct_42,struct_43,struct_44,struct_45,struct_46,struct_47,struct_48,struct_49,struct_50,struct_51,struct_52,struct_53,struct_54,struct_55,ring_3,ring_4,ring_5,ring_6,ring_7,ring_8,ring_9,ring_10,ring_11,ring_12,ring_13,ring_14,ring_15,ring_16,ring_17,ring_18,ring_19,ring_20,ring_21,ring_22
1.cif,3.4,0.48989794855663565,3.0,4.0,2.530656299953976,0.26028780578062294,2.3141570935733498,2.8493971608413586,1.5327209261405645,0.2237223212356834,1.4015015926407206,2.136149509540885,111.26441552846771,47.14083617269988,44.999999999999915,178.27636304891152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.176470588235294,1.8823529411764706,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.cif,5.5,1.118033988749895,4.0,7.0,3.5905476278663735,0.5854635022502686,2.803220735560867,4.484483343644757,1.8398942303262487,0.44541364124154365,1.3727410119247847,2.3823887967350674,96.47988695476353,46.11551894550972,30.936232677113047,174.09277674975144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,2.909090909090909,0.7272727272727273,0.0,0.0,0.0,0.0,0.7272727272727273,2.1818181818181817,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
